City_CH,City_EN,FID,Field_1,GbCity,GbProv,Prov_CH,Prov_EN,T_D_1010,T_C_1010,Population,PM2.5,Death_rate,PM10,CO,NO2,O3,SO2
苏州市,Suzhou,77,235,3205,32,江苏省,Jiangsu,0,87,277.08,21.08333333,0.00,31.29166667,0.478333333,40.08333333,34.45833333,2.75
南通市,Nantong,78,182,3206,32,江苏省,Jiangsu,0,40,117.26,20.79166667,0.00,33.75,0.454583333,31.70833333,36.75,7.708333333
连云港市,Lianyungang,79,147,3207,32,江苏省,Jiangsu,0,48,94.37,32.20833333,0.00,45.91666667,0.810416667,28.29166667,31.625,13.41666667
盐城市,Yancheng,81,293,3209,32,江苏省,Jiangsu,0,27,129.67,26.45833333,0.00,44.75,0.405,37.75,31.875,3.083333333
扬州市,Yangzhou,82,294,3210,32,江苏省,Jiangsu,0,23,106.78,45.95833333,0.00,63.16666667,0.810833333,52.70833333,16.29166667,8.083333333
镇江市,Zhenjiang,83,326,3211,32,江苏省,Jiangsu,0,12,79.25,41.375,0.00,60.83333333,0.552916667,49.95833333,19.45833333,9.75
泰州市,Taizhou,84,243,3212,32,江苏省,Jiangsu,0,37,84.58,34.125,0.00,50.375,0.64125,31.5,37.875,6.833333333
宿迁市,Suqian,85,284,3213,32,江苏省,Jiangsu,0,13,72.3,56.08333333,0.00,69.83333333,0.60125,38.75,23.625,6.875
杭州市,Hangzhou,86,88,3301,33,浙江省,Zhejiang,0,181,386.12,41.625,0.00,82.16666667,0.76,54.08333333,22.16666667,6.916666667
宁波市,Ningbo,87,185,3302,33,浙江省,Zhejiang,0,157,197.97,19.16666667,0.00,36.29166667,0.515416667,39.5,35.625,11.04166667
温州市,Wenzhou,88,257,3303,33,浙江省,Zhejiang,1,504,154.14,20.83333333,0.20,47,0.509583333,37.29166667,34.75,10.25
嘉兴市,Jiaxing,89,120,3304,33,浙江省,Zhejiang,0,46,44.88,19.25,0.00,35.66666667,0.464583333,39.83333333,37.04166667,7.583333333
湖州市,Huzhou,90,104,3305,33,浙江省,Zhejiang,0,10,55.52,37.54166667,0.00,70.70833333,0.708333333,51.75,24.41666667,11.91666667
绍兴市,Shaoxing,91,223,3306,33,浙江省,Zhejiang,0,42,100.81,33.79166667,0.00,64.5,0.807916667,43.04166667,24.75,5.083333333
金华市,Jinhua,92,126,3307,33,浙江省,Zhejiang,0,55,57.91,46.16666667,0.00,74,0.614166667,55.16666667,19.29166667,9.416666667
衢州市,Quzhou,93,205,3308,33,浙江省,Zhejiang,0,14,29.89,33.875,0.00,61.91666667,0.638333333,45.79166667,31.41666667,7.625
