City_EN,Prov_EN,City_CN,PM10_Poll_Ind,PM10,PM2.5_Poll_Ind,PM2.5,CO_Poll_Ind,CO,NO2_Poll_Ind,NO2,O3_Poll_Ind,O3,SO2_Poll_Ind,SO2,Population,Urban_Area_Sq_Km,Pop_Dens_Proxy,Green_Space,Urban_Rail_Ind,Industrial_Manufacturing,Road_Street_Trans,Arable_Land,T_C_0129,T_C_0130,T_C_0131,T_C_0201,T_C_0202,T_C_0203,T_C_0204,T_C_0205,T_C_0206,T_C_0207,T_C_0208,T_C_0209,T_C_0210,T_C_0211,T_C_0212,T_C_0213,T_C_0214,T_C_0215
Wuhai,Neimenggu,??,1,147.2083333,1,83.95833333,1,1.940833333,0,51.375,0,11.5,0,20.08333333,44.96,67.17,0.669346434,5,1,1.68,6.73,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Chifeng,Neimenggu,??,1,101.4583333,0,51,1,1.97625,0,50.66666667,0,17.16666667,0,54.08333333,77.55,560,0.138482143,11.06,1,13.7,21.96,0.74,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,7,7,9
Tongliao,Neimenggu,??,0,83.95833333,0,56.33333333,0,0.574166667,0,43.25,0,40.45833333,0,19.20833333,43.3,75.63,0.572524131,8.05,0,8.16,12.28,0,1,1,1,1,1,1,1,1,2,2,3,3,6,6,6,6,6,6
Hulunbeier,Neimenggu,????,0,32.79166667,0,25.70833333,0,0.472916667,0,16.375,0,42.33333333,0,4.666666667,29.94,252,0.118809524,7.34,0,10.61,9.51,0,2,2,2,2,2,3,3,5,5,5,5,5,5,6,6,6,6,6
Xilinguole,Neimenggu,????,0,28.66666667,0,18.83333333,0,0.552083333,0,16.375,0,57.79166667,0,18.58333333,7.49,36.04,0.207824639,1.55,0,1.42,3.92,0,2,2,2,2,2,2,2,2,2,2,2,5,2,2,3,5,6,6
Wulanchabu,Neimenggu,????,0,61.54166667,0,38.79166667,1,1.164583333,0,58,0,17.79166667,0,34.83333333,25.61,70,0.365857143,6.24,0,6.28,5.82,1.22,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bayannaoer,Neimenggu,????,1,126.5833333,1,71.45833333,1,1.572916667,0,51,0,18.5,0,50.66666667,31.79,80.51,0.394857782,4.44,0,5.61,10.86,0,2,2,3,3,3,3,4,4,4,4,6,6,6,6,6,6,8,8
Shenyang,Liaoning,??,1,113.625,1,79.29166667,1,1.549166667,0,60.45833333,0,16.04166667,0,34.04166667,443.27,1610,0.275322981,80.62,1,162.68,99.9,0,9,10,13,16,13,15,18,23,24,25,26,26,26,28,28,28,28,28
Dalian,Liaoning,??,0,56.875,0,33,1,0.867916667,0,33.83333333,0,32.66666667,0,14.91666667,338.59,1523,0.222317794,49.76,1,116.52,57.27,1.42,5,7,8,10,12,12,13,14,14,14,16,16,16,16,16,17,18,18
Anshan,Liaoning,??,1,188,1,140.625,1,2.766666667,0,69.54166667,0,16.33333333,0,37.33333333,130.11,625.6,0.207976343,8.49,0,54.31,27.94,0.04,0,0,1,0,1,1,1,1,3,3,3,3,3,3,3,3,4,4
Benxi,Liaoning,??,1,117.2916667,1,81.75,1,2.44625,0,58.04166667,0,12.08333333,0,36,81.64,1518,0.053781291,6.45,0,21.9,13.76,0.53,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Dandong,Liaoning,??,0,67.91666667,0,49.16666667,1,1.155,0,33.91666667,0,25.25,0,27.41666667,63.38,620.8,0.102094072,11.57,0,22.6,16.48,0.26,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
Jinzhou,Liaoning,??,1,107.0833333,1,68,1,1.375833333,0,46.41666667,0,24.95833333,0,69.375,95.6,436,0.219266055,11.38,0,24.23,9.1,0,4,4,7,7,7,7,7,7,7,8,10,11,11,12,12,12,12,12
Yingkou,Liaoning,??,1,107.5833333,1,74.25,1,1.566666667,0,54.875,0,19.625,0,24.875,77.45,538.25,0.143892243,23.07,0,50.31,35.86,0.06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fuxin,Liaoning,??,0,95.58333333,0,58.95833333,1,1.2225,0,33.125,0,36.04166667,0,42.5,75.14,448,0.167723214,10.12,0,18.97,12.47,0,0,0,1,2,3,5,7,7,7,7,7,7,8,8,8,8,8,8
Liaoyang,Liaoning,??,1,157.75,1,130.75,1,2.624583333,0,63.58333333,0,11.16666667,0,37.375,72.77,728,0.099958791,4.57,0,27.34,15.31,2.63,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Panjin,Liaoning,??,0,68.45833333,0,36.33333333,1,0.87875,0,38.625,0,31.125,0,20.58333333,74.46,248.11,0.300108823,6.15,0,23.2,18.01,0,3,3,7,5,8,8,8,8,11,11,11,11,11,11,11,11,11,11
Tieling,Liaoning,??,1,115.9166667,1,88.95833333,1,1.009583333,0,55.04166667,0,23.25,0,24.5,38.4,216.15,0.177654407,4.7,0,17.05,11.8,0.07,2,2,2,2,3,3,3,3,3,3,3,4,4,7,7,7,7,7
