City_EN,Prov_EN,City_CN,PM10_Poll_Ind,PM10,PM2.5_Poll_Ind,PM2.5,CO_Poll_Ind,CO,NO2_Poll_Ind,NO2,O3_Poll_Ind,O3,SO2_Poll_Ind,SO2,Population,Urban_Area_Sq_Km,Pop_Dens_Proxy,Green_Space,Urban_Rail_Ind,Industrial_Manufacturing,Road_Street_Trans,Arable_Land,T_C_0129,T_C_0130,T_C_0131,T_C_0201,T_C_0202,T_C_0203,T_C_0204,T_C_0205,T_C_0206,T_C_0207,T_C_0208,T_C_0209,T_C_0210,T_C_0211,T_C_0212,T_C_0213,T_C_0214,T_C_0215
Bozhou,Anhui,??,0,86.16666667,0,54.66666667,0,0.79375,0,36.75,0,18,0,7.875,33,86.9,0.379746835,5,0,14.3,13.5,8.2,20,20,25,30,39,48,58,66,72,81,87,92,92,97,100,106,107,108
Chizhou,Anhui,??,0,81.41666667,0,41.45833333,1,0.839583333,0,53.75,0,12,0,20.79166667,27.62,252.93,0.109200174,3.41,0,5.55,7.79,1.4,2,4,4,6,6,10,11,11,11,11,12,15,15,16,16,17,17,17
Xuancheng,Anhui,??,0,61.25,0,50.54166667,0,0.690416667,0,51.45833333,0,32.66666667,0,7.166666667,26.62,131.77,0.202018669,5.5,0,17.17,12.68,0,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6
Fuzhou,Fujian,??,0,38.66666667,0,22.625,0,0.433333333,0,26.45833333,0,56.29166667,0,5.041666667,230.4,758.57,0.303729386,18.54,1,31.43,37.91,2.82,30,32,39,44,47,53,55,56,57,57,59,63,63,64,64,66,66,68
Xiamen,Fujian,??,0,25.41666667,0,18.91666667,0,0.508333333,0,17.41666667,0,70.375,0,4.208333333,206.57,389.48,0.530373832,40.39,1,89.44,57.66,0,7,13,17,18,19,20,21,21,23,23,25,28,31,32,34,34,34,34
Putian,Fujian,??,0,38.45833333,0,19.66666667,0,0.47875,0,19.70833333,0,54.58333333,0,7.75,62.8,244,0.257377049,2.1,0,15.69,13.93,2.38,17,22,25,27,34,37,38,42,44,44,47,51,51,52,54,54,55,55
Sanming,Fujian,??,0,29.16666667,0,23,1,0.85125,0,20.41666667,0,29.29166667,0,7.75,22.08,220,0.100363636,1.99,0,10.9,4.85,0,10,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13
Quanzhou,Fujian,??,0,30,0,18.75,0,0.358333333,0,24.5,0,60.20833333,0,3.958333333,103.4,539,0.191836735,19,0,44.8,22.19,0,18,22,24,29,31,35,37,39,40,40,40,42,43,43,44,44,46,46
Zhangzhou,Fujian,??,0,46.91666667,0,21.5,0,0.727083333,0,34.75,0,32.70833333,0,4.625,44.6,89.31,0.499384168,8.88,0,17.13,8.77,0.16,7,8,11,12,13,13,15,16,16,16,16,16,17,19,19,19,20,20
Nanping,Fujian,??,0,19.45833333,0,17.33333333,0,0.672083333,0,15.625,0,38.79166667,0,4.708333333,30.28,344.72,0.087839406,6.58,0,12.13,4.77,0.19,3,3,8,8,11,11,12,12,12,12,14,18,19,19,20,20,20,20
Longyan,Fujian,??,0,30.95833333,0,22.45833333,0,0.75,0,22.20833333,0,29.91666667,0,7.583333333,45.53,200,0.22765,9.67,0,7.95,13.43,0.57,1,1,1,1,1,2,2,2,4,4,5,6,6,6,6,6,6,6
Ningde,Fujian,??,0,43.33333333,0,26.33333333,0,0.49375,0,22.70833333,0,44.5,0,7.25,20.56,107.5,0.191255814,3.49,0,8.51,5.35,0,8,9,9,9,12,12,14,16,16,16,21,24,24,24,25,25,25,25
Nanchang,Jiangxi,??,0,79.08333333,0,41.375,0,0.795416667,0,48.04166667,0,18.91666667,0,15.5,249.7,358.9,0.695736974,33.05,1,61.1,48.55,6.49,46,67,83,89,103,121,134,149,162,168,179,189,195,204,210,217,222,227
Jingdezhen,Jiangxi,???,0,50.95833333,0,27.45833333,0,0.592916667,0,22.125,0,37.33333333,0,8.416666667,40.88,198.5,0.205944584,9.9,0,20.98,12.97,0.3,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5
Pingxiang,Jiangxi,??,1,119.0833333,1,71.5,1,1.651666667,0,41.70833333,0,20.16666667,0,30.25,42.82,85.7,0.499649942,7.18,0,8.7,7.75,0.1,5,8,9,15,18,20,22,23,24,24,24,25,26,29,29,31,32,32
Jiujiang,Jiangxi,??,0,62,0,46.45833333,0,0.617916667,0,40.25,0,18.29166667,0,13.66666667,73.71,179.53,0.410572049,14.95,0,28.57,18.65,4.22,31,42,43,55,64,78,86,92,95,97,100,101,101,105,109,114,115,117
Xinyu,Jiangxi,??,0,83.375,0,43.375,1,0.806666667,0,39.91666667,0,28.08333333,0,26,47.6,230,0.206956522,21.41,0,8.15,11.91,0.31,11,28,40,43,50,59,69,78,87,95,100,105,110,117,121,124,127,129
Yingtan,Jiangxi,??,0,63.54166667,0,41.95833333,0,0.49,0,41.20833333,0,35.25,0,48.625,29.7,101,0.294059406,6.19,0,7.94,8.31,0.5,3,4,4,8,8,8,9,9,10,11,11,12,14,18,18,18,18,18
Ganzhou,Jiangxi,??,0,84.66666667,0,51.25,1,1.068333333,0,39.5,0,55.25,0,10.41666667,139.55,328.24,0.425146234,30.1,0,26.64,29.34,6.41,21,27,30,34,35,42,48,52,59,64,69,71,72,72,76,76,76,76
Jian,Jiangxi,??,0,84.41666667,0,46.20833333,1,1.243333333,0,32,0,40.54166667,0,16.83333333,41.46,230,0.18026087,5.33,0,15.39,8.22,3.01,5,8,11,12,13,15,15,15,16,17,17,18,19,21,20,20,20,21
Yichun,Jiangxi,??,0,62.29166667,0,54.83333333,1,0.8375,0,23.45833333,0,36.41666667,0,13.29166667,53.9,115,0.468695652,13.89,0,12.55,17.52,0,14,26,29,31,36,45,48,54,62,67,74,77,83,88,95,101,102,104
Fuzhou,Jiangxi,??,0,38.66666667,0,22.625,0,0.433333333,0,26.45833333,0,56.29166667,0,5.041666667,230.4,758.57,0.303729386,18.54,1,31.43,37.91,2.82,13,15,18,24,29,34,44,46,56,59,63,64,67,68,69,71,72,72
Shangrao,Jiangxi,??,0,72.75,0,36.125,0,0.785416667,0,39,0,34.04166667,0,18.58333333,69.86,92.01,0.759265297,16.5,1,3.69,17.22,0,11,12,16,19,32,50,69,78,86,92,98,103,111,116,119,122,123,123
Jinan,Shandong,??,0,84.29166667,0,49.83333333,1,0.909583333,0,41.79166667,0,31.58333333,0,21.70833333,345.97,1665.87,0.207681272,41.91,1,91.62,77.68,9.68,14,16,18,19,22,25,29,33,39,42,42,44,46,47,47,47,47,47
Qingdao,Shandong,??,0,61.33333333,0,36.66666667,0,0.705833333,0,42.58333333,0,31.29166667,0,10,406,3089.18,0.131426463,55.64,1,176.15,81.96,4.98,18,21,21,22,25,29,34,41,43,46,47,52,53,53,53,53,56,57
Zibo,Shandong,??,0,96.58333333,0,58.04166667,1,1.324583333,0,48.16666667,0,27,0,32.625,172.19,705.1,0.244206496,18.77,0,78.91,35.09,4.25,6,8,10,12,12,12,14,14,15,15,16,16,19,20,23,26,28,29
Zaozhuang,Shandong,??,0,99.70833333,1,62.5,0,0.76,0,36.41666667,0,30.33333333,0,15.08333333,97.07,349.46,0.277771419,13.42,0,24.76,16.45,0.43,8,9,11,14,15,16,17,17,19,19,21,21,23,23,23,23,24,24
Yantai,Shandong,??,0,84.91666667,0,55.83333333,1,1.059583333,0,47.79166667,0,27.83333333,0,17.33333333,154.3,914,0.168818381,34.79,0,62.91,34.29,2.19,13,18,20,20,22,26,26,29,31,34,36,39,41,43,46,46,46,46
Weifang,Shandong,??,0,98.79166667,1,60.625,1,0.809166667,0,50.25,0,18.75,0,12.54166667,129.06,1186.54,0.108770037,21.91,0,35.03,27.65,13.44,7,8,9,10,13,13,16,21,27,29,34,37,38,38,38,41,42,43
Jining,Shandong,??,0,84.70833333,1,64.91666667,1,0.814583333,0,48.54166667,0,21.20833333,0,17.66666667,143.15,883.87,0.161958207,17.26,0,50.82,30.65,0,8,8,10,14,18,21,23,32,35,38,39,39,41,42,43,46,49,51
Taian,Shandong,??,0,89.70833333,0,58.04166667,0,0.7075,0,37.41666667,0,28,0,18.875,83.87,587.63,0.142725865,9.84,0,38.4,23.1,0.56,3,3,5,9,11,12,14,18,20,20,23,26,32,32,32,32,32,32
Weihai,Shandong,??,0,61.5,0,39.5,0,0.798333333,0,27,0,41.45833333,0,9.541666667,80.89,631.42,0.128108074,15.04,0,53.02,31,1.83,14,19,24,24,25,25,27,28,30,32,34,35,37,38,38,38,38,38
Rizhao,Shandong,??,0,96.79166667,0,53.54166667,1,1.166666667,0,52.79166667,0,20.83333333,0,23.16666667,74.82,403.7,0.185335645,9.35,0,21.22,26.28,3.6,8,9,10,11,12,14,14,14,14,14,15,15,15,15,15,15,15,16
Linyi,Shandong,??,1,107.2916667,1,70.45833333,1,0.958333333,0,49.75,0,21.41666667,0,20.75,184.71,1277.63,0.144572372,37.62,0,36.91,25.86,2.46,16,20,23,24,24,27,30,32,35,38,40,42,44,45,45,47,47,47
Dezhou,Shandong,??,0,99.04166667,0,59,1,0.915,0,43.875,0,23.75,0,16.66666667,80.82,602,0.134252492,15.85,0,42.34,22.73,0.65,11,16,17,19,19,19,19,26,27,28,30,32,32,33,35,35,36,37
Liaocheng,Shandong,??,0,89.20833333,0,52.75,0,0.755,0,46.04166667,0,27.16666667,0,13.29166667,79.99,439.87,0.181849183,6.3,0,24.97,20.68,1.3,5,7,7,9,9,10,12,15,20,27,33,34,37,38,38,38,38,38
Binzhou,Shandong,??,1,101.375,1,64.125,1,1.55125,0,63.29166667,0,15.91666667,0,32.79166667,77.05,799.9,0.096324541,20.48,0,33.82,20.55,0,7,9,9,10,10,11,11,11,11,11,11,11,11,12,12,14,14,14
Heze,Shandong,??,0,94.83333333,0,46.70833333,0,0.476666667,0,35.54166667,0,23.66666667,0,10.66666667,91.08,444.56,0.204876732,12.1,0,33.25,21.99,3.77,7,7,8,8,9,10,12,12,13,14,14,16,17,18,18,18,18,18
Zhengzhou,Henan,??,0,78.16666667,0,50.91666667,1,0.825416667,0,47.875,0,24.75,0,10.625,374.05,572.56,0.653293978,116.14,1,45.63,97.6,0,46,50,56,65,72,85,92,102,112,120,126,130,132,137,141,142,144,148
Kaifeng,Henan,??,0,86.83333333,1,70.25,0,0.688333333,0,34.70833333,0,27.20833333,0,10.75,99.1,192.25,0.515474642,13.39,0,26.13,20.92,3.86,4,6,8,11,11,12,17,18,20,21,24,24,25,25,25,25,25,26
Luoyang,Henan,??,0,98.16666667,0,50.75,0,0.649166667,0,46.54166667,0,18.45833333,0,16.58333333,206.7,331.42,0.623679923,40.14,0,38.95,34.17,2.8,2,3,5,7,7,12,17,21,24,25,25,27,28,29,30,30,31,31
Pingdingshan,Henan,???,0,96.70833333,0,59.45833333,1,0.85625,0,44.04166667,0,16.45833333,0,11.83333333,94.55,260.03,0.363611891,14.82,0,9.54,12.43,0,8,10,11,14,19,28,34,41,46,48,50,52,54,55,56,57,58,58
Anyang,Henan,??,0,89.70833333,0,57,1,1.165416667,0,55.16666667,0,16.5,0,20.08333333,75.48,153,0.493333333,15.28,0,9.28,16.35,0,16,20,24,24,29,33,35,37,40,43,44,45,46,49,50,50,51,51
Hebi,Henan,??,0,89.125,0,51.29166667,1,1.175833333,0,48.91666667,0,20.25,0,19.16666667,47.28,130.42,0.362521086,9.62,0,16.41,9.69,0,6,6,6,8,8,10,10,10,11,13,17,17,18,19,19,19,19,19
Xinxiang,Henan,??,0,77.58333333,0,42.91666667,0,0.637916667,0,48.125,0,21.125,0,12.66666667,78.78,140,0.562714286,25.29,0,11.08,13.22,0,11,15,21,21,27,33,39,41,41,43,44,46,48,53,54,55,55,56
Jiaozuo,Henan,??,0,97.16666667,0,49.79166667,1,0.881666667,0,48.95833333,0,16.45833333,0,16.875,80.1,140,0.572142857,16.09,0,24.22,14.19,0,2,2,2,7,8,12,15,17,18,20,24,25,28,28,29,29,30,30
Puyang,Henan,??,0,77.33333333,0,59,0,0.74125,0,33.91666667,0,35.54166667,0,11,58.5,153.56,0.380958583,13.08,0,4.7,9.26,0,1,3,3,3,3,4,4,5,5,7,9,10,11,13,13,13,17,17
Xuchang,Henan,??,0,82.04166667,1,76.25,1,0.994166667,0,44.20833333,0,9.708333333,0,10.66666667,46.2,190,0.243157895,13.79,0,10.44,14.93,0,3,8,12,13,15,19,24,26,28,30,31,31,32,34,34,37,37,38
Luohe,Henan,??,1,105.9166667,1,77.33333333,0,0.535416667,0,41.66666667,0,13,0,8.458333333,60.44,106.82,0.565811646,16.05,0,5.73,12.01,3.04,11,13,14,16,20,23,24,26,26,29,30,30,31,33,33,33,34,34
Sanmenxia,Henan,???,0,83.29166667,0,55.125,1,0.963333333,0,43.54166667,0,13.875,0,15.75,47.32,73,0.648219178,10.86,0,5.15,8.09,0,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Nanyang,Henan,??,1,108.5,1,74.70833333,1,0.91625,0,38.08333333,0,18.875,0,12.08333333,124.41,640.77,0.19415703,17.94,0,24.1,27.36,1,51,61,66,62,84,99,107,111,118,128,133,134,136,138,145,146,150,151
Shangqiu,Henan,??,0,72,0,56.66666667,0,0.700833333,0,28.125,0,22.54166667,0,6.958333333,96.38,103,0.935728155,30.56,0,1.39,11.3,0,18,27,29,36,50,60,61,65,72,76,82,83,86,86,87,88,90,91
Xinyang,Henan,??,1,105.9166667,1,73.41666667,0,0.799166667,0,49.41666667,0,8.708333333,0,7.333333333,57.82,259.51,0.222804516,10.32,0,16.85,16.13,0,42,49,70,88,99,112,138,164,176,192,205,220,228,231,240,243,252,261
Zhoukou,Henan,??,0,88.70833333,1,74.875,0,0.6675,0,38.79166667,0,14.04166667,0,10.08333333,38.46,100,0.3846,7.52,0,5.25,11.05,0,25,36,38,40,47,52,56,59,60,62,62,65,65,66,68,69,70,71
Zhumadian,Henan,???,0,90.66666667,1,60.91666667,0,0.670416667,0,40.54166667,0,13.95833333,0,7.458333333,46.88,185,0.253405405,3.56,0,9.02,12.13,0,25,30,40,46,58,72,82,98,106,113,116,123,126,128,134,137,138,138
Wuhan,Hubei,??,0,75.875,0,45.08333333,1,0.998333333,0,57.95833333,0,8.458333333,0,11.625,604,1452,0.415977961,48.12,1,217.95,134.01,10.49,2261,2639,3215,4109,5142,6384,8351,10117,11618,13603,14982,16902,18454,19558,32994,35991,37914,39462
Huangshi,Hubei,??,0,70.66666667,0,31.79166667,0,0.796666667,0,43.83333333,0,25.125,0,13.5,85.15,233.8,0.364200171,7.88,0,21.99,17.9,0,113,168,209,252,334,405,509,566,635,703,760,805,835,874,911,943,980,988
Shiyan,Hubei,??,0,79.91666667,0,41.5,0,0.706666667,0,38.66666667,0,22.58333333,0,6.958333333,59.06,410.5,0.143873325,9.76,0,33.89,12.4,0,119,150,177,212,256,291,318,353,395,438,467,481,505,536,562,586,597,602
Yichang,Hubei,??,1,130.9583333,1,109.3333333,1,0.884166667,0,35.04166667,0,21.83333333,0,10.58333333,80.22,541,0.148280961,16.8,0,38.52,30.43,0.69,117,167,276,353,392,452,496,563,610,633,711,749,772,784,810,877,906,901
Ezhou,Hubei,??,0,75.91666667,0,35.25,1,1.35,0,48.625,0,16.79166667,0,18.16666667,43.79,247,0.177287449,12.5,0,15,5.4,0,123,189,227,278,306,332,382,423,471,569,639,725,790,861,1065,1125,1192,1230
Jingmen,Hubei,??,1,106.125,1,78,0,0.755833333,0,39.95833333,0,20.66666667,0,13.16666667,47.65,248.7,0.191596301,10.69,0,11.9,12.08,0,191,227,251,329,345,400,422,508,553,588,663,641,656,696,927,901,902,909
Xiaogan,Hubei,??,0,76.33333333,0,46.95833333,1,0.93125,0,38.45833333,0,11.29166667,0,9.541666667,55.31,115.25,0.479913232,4.02,0,14.1,10.54,3.16,399,541,628,749,918,1120,1462,1886,2141,2313,2436,2541,2642,2751,2874,3009,3114,3201
Jingzhou,Hubei,??,1,110.5,1,65.20833333,1,0.832083333,0,43.375,0,9.333333333,0,15.79166667,82.92,89.44,0.927101968,11.29,0,21.51,13.84,0.38,151,221,287,333,499,613,713,801,885,941,997,1045,1075,1110,1431,1447,1478,1490
Huanggang,Hubei,??,0,74.70833333,0,34.83333333,0,0.720833333,0,44.04166667,0,24.375,0,17.29166667,31.04,52.22,0.594408273,5.81,0,8.66,10.01,0,496,573,726,1002,1246,1422,1645,1807,1897,2041,2141,2252,2332,2398,2662,2791,2817,2823
Xianning,Hubei,??,0,63.625,0,42,1,0.90875,0,29.41666667,0,21.875,0,9.875,36.62,165,0.221939394,5.35,0,13.28,6.35,0,130,166,206,246,296,348,384,399,443,476,493,507,515,525,534,732,840,852
Suizhou,Hubei,??,0,82.375,0,50.83333333,0,0.715,0,33.33333333,0,25.20833333,0,6.666666667,47.69,236.61,0.201555302,4.9,0,20.85,10.3,0.61,143,228,304,384,458,641,706,834,915,953,984,1049,1095,1129,1160,1206,1232,1254
Changsha,Hunan,??,0,77.375,1,76.375,1,1.065833333,0,41.70833333,0,6.25,0,5.666666667,374.43,1199.84,0.312066609,42.78,1,33.64,62.57,2.94,57,68,86,112,125,148,164,179,190,196,205,213,219,223,228,238,241,241
Zhuzhou,Hunan,??,1,120,1,86.875,1,0.986666667,0,50.33333333,0,7.208333333,0,15.29166667,115.26,862.69,0.133605351,0,0,33.33,27.72,0,18,19,22,25,26,34,38,41,46,48,58,61,68,71,75,77,78,78
Xiangtan,Hunan,??,1,111.6666667,1,85.875,1,1.00125,0,47.66666667,0,8.041666667,0,9.458333333,78.84,169.02,0.466453674,5.33,0,12.89,12.38,2.12,9,10,13,16,19,21,23,24,25,28,28,31,32,32,32,34,35,35
Hengyang,Hunan,??,1,140.3333333,1,109.375,1,1.358333333,0,42.75,0,6.708333333,0,14.79166667,95.45,518,0.184266409,8.31,0,29.7,19.5,1.92,20,25,26,30,32,35,39,43,43,43,45,45,45,45,45,46,47,47
Shaoyang,Hunan,??,1,100.8333333,1,91.91666667,1,1.178333333,0,36.875,0,6.583333333,0,15.75,64,83,0.771084337,13.52,0,4.85,6.35,0.21,29,36,41,49,51,55,68,74,83,86,87,89,91,94,99,100,100,101
Yueyang,Hunan,??,0,90.54166667,1,67.58333333,1,1.020416667,0,41.20833333,0,8.25,0,9.166666667,86.5,162,0.533950617,13.1,0,19.48,4.1,0,29,37,45,53,70,83,89,93,107,111,115,124,134,146,148,149,153,154
Changde,Hunan,??,0,82.125,1,92.70833333,0,0.6625,0,24.95833333,0,9.791666667,0,4.458333333,74.44,332.07,0.224169603,10.98,0,22.32,18.44,1.83,30,37,39,42,45,50,56,62,64,66,66,72,73,75,77,78,78,79
Zhangjiajie,Hunan,???,1,119.6666667,1,101.625,1,0.879166667,0,26.41666667,0,18.16666667,0,3.833333333,19.31,55.2,0.349818841,1.82,0,1.53,5.41,0.05,1,1,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5
Yiyang,Hunan,??,1,113.125,1,87.33333333,1,1.1675,0,30.83333333,0,7.625,0,3.208333333,56.93,109,0.522293578,5.66,0,6.27,2.87,1.48,17,20,24,27,30,35,40,41,43,44,46,53,54,58,59,59,59,59
Chenzhou,Hunan,??,0,65.25,0,50.29166667,1,1.4075,0,38.125,0,11.54166667,0,11.375,65.08,580,0.112206897,3.82,0,6.57,14.29,0.17,10,12,13,18,21,22,24,25,29,31,32,32,33,38,38,39,39,39
Yongzhou,Hunan,??,0,99.16666667,1,72,1,1.268333333,0,39.33333333,0,11.75,0,6.875,48.62,100,0.4862,8.98,0,7.98,9.79,0.31,14,16,18,22,26,26,30,32,38,40,40,41,42,43,43,43,43,43
Huaihua,Hunan,??,0,89.08333333,1,73.29166667,1,1.0925,0,18.125,0,20.625,0,5,37.14,64,0.5803125,4.33,0,2.2,8.7,0,23,26,28,31,32,35,35,36,38,38,39,39,39,39,39,39,40,40
Loudi,Hunan,??,1,116.2083333,1,83.83333333,1,1.099583333,0,26.375,0,7,0,5.666666667,45.8,62.2,0.736334405,4.53,0,11.4,3.54,0,16,20,26,29,35,40,45,51,53,59,64,66,69,69,72,73,75,75
Guangzhou,Guangdong,??,0,64.79166667,0,41.83333333,1,0.942083333,0,39.45833333,0,34,0,8.041666667,665.61,2099.18,0.317080955,26.88,1,192.1,78.98,4.78,79,106,137,175,189,216,237,255,284,298,304,313,317,323,327,328,335,338
Shaoguan,Guangdong,??,0,66.83333333,0,54.66666667,1,1.16875,0,38.20833333,0,50.79166667,0,11.875,63.43,1437.39,0.044128594,8.91,0,28.8,12.3,0,4,4,4,5,5,6,6,6,6,6,6,6,7,7,8,8,10,10
Shenzhen,Guangdong,??,0,68.08333333,0,42.20833333,0,0.730833333,0,25.375,0,42,0,5.541666667,1302.66,1997.47,0.652154976,72.67,1,273.42,237.88,0,86,110,170,196,226,269,289,314,334,351,364,368,375,386,391,400,406,414
Zhuhai,Guangdong,??,0,54.16666667,0,30.33333333,0,0.695416667,0,21.25,0,61.04166667,0,3.5,84.08,790.19,0.106404789,0,1,0,0,0,18,26,38,41,51,64,69,73,73,82,83,85,86,87,89,91,95,96
Shantou,Guangdong,??,0,28.5,0,17.625,0,0.665416667,0,20.08333333,0,74.58333333,0,7.166666667,244.16,281.65,0.866891532,8.12,0,30.6,35.61,0,12,12,14,14,17,18,20,20,22,25,25,25,25,25,25,25,25,25
Foshan,Guangdong,??,0,70.66666667,0,41.95833333,1,0.914583333,0,42.875,0,29.91666667,0,11.75,135.75,555.95,0.244176635,12.93,1,40.49,15.2,0.37,25,32,38,39,43,46,49,50,57,60,65,68,70,78,81,82,84,84
Jiangmen,Guangdong,??,0,75.41666667,0,43.66666667,1,1.069583333,0,48.375,0,32.79166667,0,8.875,96.82,566,0.171060071,13.83,0,44.26,30.78,0.25,1,1,3,3,4,6,7,9,11,14,17,19,20,21,22,22,22,23
Zhanjiang,Guangdong,??,0,42.33333333,0,29.5,0,0.749583333,0,13.5,0,87.54166667,0,5.541666667,91.78,115.5,0.794632035,16.41,0,4.15,15.05,0.56,9,11,13,14,14,15,18,19,19,20,21,21,21,21,21,22,22,22
Maoming,Guangdong,??,0,84.29166667,0,50.375,1,0.920416667,0,20.54166667,0,64.70833333,0,9.416666667,82.59,133.51,0.618605348,8.12,0,20.78,11.99,0,3,3,3,3,4,5,6,6,6,6,9,10,11,13,13,13,13,13
Zhaoqing,Guangdong,??,0,60.29166667,0,41.20833333,1,0.985,0,39.875,0,34.45833333,0,16.33333333,64.09,415.7,0.154173683,7.86,1,31.63,17.68,2.39,5,6,6,7,7,10,11,13,14,14,14,14,15,16,16,17,17,17
Huizhou,Guangdong,??,0,57.79166667,0,42.25,1,0.9425,0,25.5,0,33,0,7.833333333,117.48,1181.65,0.099420302,31.37,0,68.79,33.01,4.59,17,17,20,23,28,29,31,35,39,41,47,50,53,54,55,56,58,58
Meizhou,Guangdong,??,0,43,0,33.375,1,0.95,0,25.625,0,28.79166667,0,8.708333333,43.95,376,0.116888298,6.22,0,5.02,8.1,0.26,5,5,5,6,7,9,10,12,12,13,13,13,13,13,13,14,15,16
Shanwei,Guangdong,??,0,36.58333333,0,26.125,0,0.67125,0,14.75,0,71.70833333,0,8.25,28.66,283.16,0.101214861,1.21,0,4.06,2.99,0.02,1,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Heyuan,Guangdong,??,0,64.875,0,55,1,1.158333333,0,23.70833333,0,26.95833333,0,11.29166667,25.75,40.32,0.638640873,0,0,0,0,0.06,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
Yangjiang,Guangdong,??,0,80.04166667,1,64.75,1,1.270833333,0,33.66666667,0,42.45833333,0,12.70833333,43.91,425.93,0.103092057,11.22,0,6.67,11.07,0,10,10,10,10,10,12,12,13,13,13,13,13,13,13,13,13,13,13
Qingyuan,Guangdong,??,0,69.66666667,0,55.45833333,1,1.054166667,0,43.83333333,0,41.20833333,0,12.04166667,47.11,311.03,0.151464489,2.36,0,9.83,13.28,0.35,6,6,6,6,6,8,10,10,10,10,10,10,10,12,12,12,12,12
Dongguan,Guangdong,??,0,58.25,0,48.625,1,0.89,0,31.70833333,0,34.04166667,0,10.20833333,231.58,2465,0.093947262,88.39,1,398.44,184.35,1.57,7,16,21,27,31,37,44,47,53,56,58,60,62,67,70,73,81,89
Zhongshan,Guangdong,??,0,57.33333333,0,39.58333333,0,0.77,0,37.16666667,0,39.5,0,5.333333333,53.86,332.37,0.16204832,10.33,0,42.64,14.43,0.82,16,18,18,21,25,31,35,44,46,46,51,56,58,62,64,64,65,65
Chaozhou,Guangdong,??,0,51.66666667,0,34.41666667,1,0.922916667,0,22.08333333,0,53,0,10.83333333,76.91,241.02,0.319102149,13.12,0,11.22,11,0.07,0,0,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5
Jieyang,Guangdong,??,0,49.375,0,40.70833333,1,0.872916667,0,22.16666667,0,55.41666667,0,11.41666667,81.48,210.27,0.387501783,11.82,0,59.51,16.3,0.19,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8
Guilin,Guangxi,??,0,72.70833333,0,55.29166667,1,1.490416667,0,35.29166667,0,21.45833333,0,16.16666667,87,612.63,0.142010675,16.37,0,18.52,17.82,1,18,18,21,23,24,24,26,27,28,29,29,30,30,31,31,31,31,31
Wuzhou,Guangxi,??,0,63.75,0,37.08333333,1,1.35875,0,22.08333333,0,47.41666667,0,12,48.51,485.01,0.100018556,4.26,0,10.22,10.82,0.26,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Beihai,Guangxi,??,0,64.75,0,44.54166667,1,1.06375,0,18,0,74.41666667,0,10,39.07,957,0.040825496,12.1,0,7.8,18.43,2.66,15,17,23,23,26,27,29,31,31,32,33,35,36,39,39,40,43,43
Fangchenggang,Guangxi,???,0,76.75,0,45,1,0.895,0,30.58333333,0,73.29166667,0,8.958333333,19.02,238.33,0.079805312,6.38,0,9.04,8.7,0.49,5,7,8,8,9,11,13,15,15,16,16,17,17,17,17,17,17,18
Qinzhou,Guangxi,??,0,73.20833333,0,48.91666667,1,1.16125,0,27.875,0,67.45833333,0,14.83333333,32.19,354.38,0.090834697,17.89,0,21.68,14.48,0,1,1,1,2,2,3,4,7,7,8,8,8,8,8,8,8,8,8
Guigang,Guangxi,??,0,78.625,0,48.25,1,1.18375,0,34.25,0,67.45833333,0,13.625,41.09,301.5,0.13628524,8.52,0,17.87,15.32,3.78,0,0,0,4,5,5,5,7,7,7,7,8,8,8,8,8,8,8
Yulin,Guangxi,??,0,75.54166667,0,50,1,1.214583333,0,25.66666667,0,66,0,21.125,57.97,302.04,0.191928221,12,0,1.8,12.35,0.83,2,4,5,7,8,8,8,8,8,9,9,9,9,9,9,9,10,10
Liuzhoudiqu,Guangxi,??,NA,NA,0,0,0,0,0,0,0,0,0,0,128.45,501.78,0.25598868,22.88,#N/A,54.05,43.13,3.89,0,0,0,0,0,0,0,1,2,3,7,11,11,11,11,11,11,11
Hezhoudiqu,Guangxi,??,0,56.04166667,0,42.875,1,0.885416667,0,29.875,0,38.33333333,0,8.75,18.63,78,0.238846154,4.83,0,6.54,6.2,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Baisediqu,Guangxi,??,0,82.875,0,49,1,1.204166667,0,28.5,0,52.83333333,0,20.83333333,21.14,362.6,0.058301158,7.33,0,7.26,7.06,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Hechidiqu,Guangxi,??,0,78.45833333,0,54.125,1,1.020833333,0,25.16666667,0,42.20833333,0,9.625,34.54,124,0.278548387,9.97,0,6.36,8.94,1.1,5,6,6,6,6,8,9,11,11,15,19,21,21,21,21,21,22,22
