FIPS,County,pm25
46127,Union County,5.8
47009,Blount County,6.6
47037,Davidson County,9.2
47045,Dyer County,6.7
47065,Hamilton County,8.7
47093,Knox County,8.9
47105,Loudon County,7.2
47107,McMinn County,7.4
47113,Madison County,7.5
47119,Maury County,6
47141,Putnam County,6.2
47145,Roane County,7.1
47157,Shelby County,8.8
47163,Sullivan County,7.1
47165,Sumner County,6.7
48027,Bell County,8.3
48029,Bexar County,8.9
48037,Bowie County,9.3
48043,Brewster County,5.7
48061,Cameron County,9.7
48113,Dallas County,9
48135,Ector County,7.6
48141,El Paso County,8.5
48167,Galveston County,7.6
48201,Harris County,10.7
48215,Hidalgo County,10.7
48245,Jefferson County,8.5
48303,Lubbock County,6.4
48323,Maverick County,7.5
48355,Nueces County,8.7
48361,Orange County,8.2
48375,Potter County,5.2
48439,Tarrant County,8.7
48453,Travis County,9.5
48479,Webb County,10.7
49005,Cache County,6.2
49011,Davis County,5.7
49013,Duchesne County,6.1
49021,Iron County,4.3
49035,Salt Lake County,9
49045,Tooele County,5.3
49047,Uintah County,5.1
49049,Utah County,6.1
50003,Bennington County,5.6
50007,Chittenden County,6.6
50021,Rutland County,7.5
51003,Albemarle County,6.4
51013,Arlington County,8
51036,Charles City County,6.7
51041,Chesterfield County,6.7
51059,Fairfax County,9.1
51069,Frederick County,7.6
51087,Henrico County,6.9
51107,Loudoun County,7.2
51161,Roanoke County,6.3
51165,Rockingham County,7.1
51520,Bristol city,6.4
51650,Hampton city,6.3
51680,Lynchburg city,6.2
51710,Norfolk city,7.1
51760,Richmond city,8.4
51775,Salem city,6.6
51810,Virginia Beach city,6.8
53011,Clark County,7
53033,King County,8.3
53035,Kitsap County,4.9
53037,Kittitas County,7
53047,Okanogan County,7.4
53053,Pierce County,8.1
53057,Skagit County,5.5
53061,Snohomish County,8.5
53063,Spokane County,7.5
53073,Whatcom County,4.6
53077,Yakima County,9.8
54003,Berkeley County,8.9
54009,Brooke County,9.5
54011,Cabell County,7
54033,Harrison County,7.3
54039,Kanawha County,7.5
54051,Marshall County,9.2
54061,Monongalia County,7.2
54069,Ohio County,8.1
55003,Ashland County,5
55009,Brown County,7.3
55025,Dane County,8
55035,Eau Claire County,7.7
55041,Forest County,5.4
