FIPS,County,DeathRate
26033,Chippewa County,0.95
26037,Clinton County,1.12
26043,Dickinson County,3.11
26047,Emmet County,2.65
26049,Genesee County,2.86
26055,Grand Traverse County,1.5
26063,Huron County,3.03
26065,Ingham County,1.6
26067,Ionia County,1.36
26071,Iron County,4.3
26077,Kalamazoo County,2.07
26081,Kent County,1.29
26091,Lenawee County,1.51
26099,Macomb County,3.29
26101,Manistee County,2.9
26105,Mason County,1.98
26113,Missaukee County,2.11
26115,Monroe County,2.02
26121,Muskegon County,2.82
26125,Oakland County,2.7
26139,Ottawa County,1.52
26145,Saginaw County,3.31
26147,St. Clair County,2.53
26153,Schoolcraft County,1.67
26157,Tuscola County,3.62
26161,Washtenaw County,1.44
26163,Wayne County,4.23
26165,Wexford County,1.83
27003,Anoka County,1.14
27005,Becker County,1.37
27007,Beltrami County,1.53
27017,Carlton County,1.5
27021,Cass County,1.1
27031,Cook County,0
27035,Crow Wing County,1.51
27037,Dakota County,0.96
27041,Douglas County,1.75
27047,Freeborn County,0.8
27049,Goodhue County,1.56
27053,Hennepin County,1.59
27061,Itasca County,1.48
27067,Kandiyohi County,1.26
27075,Lake County,2.5
27083,Lyon County,1.15
27085,McLeod County,1.28
27095,Mille Lacs County,2.14
27103,Nicollet County,1.64
27109,Olmsted County,0.68
27111,Otter Tail County,1.28
27123,Ramsey County,1.85
27137,St. Louis County,1.72
27139,Scott County,0.79
27145,Stearns County,1.02
27163,Washington County,1.09
27169,Winona County,1.2
27171,Wright County,0.86
28001,Adams County,3.29
28011,Bolivar County,2.64
28033,DeSoto County,0.95
28035,Forrest County,1.93
28043,Grenada County,3.19
28045,Hancock County,2.38
28047,Harrison County,1.4
28049,Hinds County,1.93
28059,Jackson County,1.74
28067,Jones County,1.73
28075,Lauderdale County,3.17
28081,Lee County,1.57
28087,Lowndes County,1.97
28109,Pearl River County,2.94
28121,Rankin County,1.87
28123,Scott County,1.81
28149,Warren County,2.72
28161,Yalobusha County,3.09
29003,Andrew County,1.27
29019,Boone County,0.35
29021,Buchanan County,1.55
29027,Callaway County,0.62
29037,Cass County,0.95
29039,Cedar County,1.55
29047,Clay County,1.67
29049,Clinton County,4.32
29071,Franklin County,1.6
29077,Greene County,1.49
29087,Holt County,2.63
29091,Howell County,1.54
29093,Iron County,0.23
29095,Jackson County,1.04
29097,Jasper County,1.61
29099,Jefferson County,0.9
29113,Lincoln County,0.53
29125,Maries County,1.44
29129,Mercer County,0.68
29137,Monroe County,1.08
29143,New Madrid County,2.26
29157,Perry County,0.99
29179,Reynolds County,0.82
29183,St. Charles County,1.03
29186,Ste. Genevieve County,0.74
29187,St. Francois County,1.09
29189,St. Louis County,1.96
29510,St. Louis city,1.73
30013,Cascade County,1.73
30027,Fergus County,1.65
30029,Flathead County,0.65
30031,Gallatin County,0.39
30047,Lake County,1.11
30049,Lewis and Clark County,0.79
30053,Lincoln County,0.75
30063,Missoula County,0.84
30071,Phillips County,3.15
30075,Powder River County,4.81
30081,Ravalli County,1.13
30083,Richland County,1.3
30087,Rosebud County,2.65
30089,Sanders County,0.98
30093,Silver Bow County,1.77
30111,Yellowstone County,1.18
31025,Cass County,0.69
31027,Cedar County,1.75
31031,Cherry County,2.34
31049,Deuel County,0
31055,Douglas County,0.96
31079,Hall County,1.65
31107,Knox County,0.96
31109,Lancaster County,0.55
31111,Lincoln County,1.17
31153,Sarpy County,0.47
31157,Scotts Bluff County,2.24
31177,Washington County,0.99
32001,Churchill County,2.65
32003,Clark County,1.38
32005,Douglas County,1.16
32007,Elko County,1
32019,Lyon County,1.93
32023,Nye County,2.22
32031,Washoe County,1.4
32033,White Pine County,0.98
32510,Carson City,1.51
33001,Belknap County,3.1
33005,Cheshire County,0.44
33007,Coos County,2.22
33009,Grafton County,0.66
33011,Hillsborough County,2.33
33013,Merrimack County,1.47
33015,Rockingham County,1.26
33019,Sullivan County,0.95
34001,Atlantic County,2.27
34003,Bergen County,4.18
34007,Camden County,2.58
34011,Cumberland County,2.4
34013,Essex County,4.38
34015,Gloucester County,2.38
34017,Hudson County,3.36
34019,Hunterdon County,2.99
34021,Mercer County,3.52
34023,Middlesex County,3.3
34025,Monmouth County,2.77
34027,Morris County,3.8
34029,Ocean County,3.6
34031,Passaic County,3.31
34039,Union County,3.57
34041,Warren County,3.77
35001,Bernalillo County,1.45
35005,Chaves County,1.42
35013,Doña Ana County,1.6
35015,Eddy County,1.58
35017,Grant County,1.65
35025,Lea County,1.36
35029,Luna County,1.8
35039,Rio Arriba County,1.68
35043,Sandoval County,1.61
35045,San Juan County,2.73
35049,Santa Fe County,1.08
35055,Taos County,3.33
35061,Valencia County,1.33
36001,Albany County,1.63
36005,Bronx County,5.42
36007,Broome County,2.31
36013,Chautauqua County,0.76
36027,Dutchess County,1.89
